goods_no,count,percent,_tc
12491389,114762,0.031889,359875560
12504169,114558,0.031833,359875560
1102270667,113974,0.03167,359875560
1127195320,112786,0.03134,359875560
1133676736,112112,0.031153,359875560
1048548064,111916,0.031099,359875560
12494582,111836,0.031076,359875560
12496805,111074,0.030865,359875560
1127262506,111008,0.030846,359875560
1134258010,110234,0.030631,359875560
1066735981,109510,0.03043,359875560
12487520,108820,0.030238,359875560
12497711,107718,0.029932,359875560
12501972,107468,0.029863,359875560
12504022,107392,0.029841,359875560
12497624,107294,0.029814,359875560
12497820,106708,0.029651,359875560
1115441089,104860,0.029138,359875560
12493773,104696,0.029092,359875560
1118826403,104142,0.028938,359875560
1130704060,103606,0.028789,359875560
12499799,103326,0.028712,359875560
12488320,101576,0.028225,359875560
1000957062,101074,0.028086,359875560
12500160,101072,0.028085,359875560
12495797,101002,0.028066,359875560
1110090706,100758,0.027998,359875560
1108855942,99684,0.0277,359875560
12501818,99628,0.027684,359875560
12495747,99614,0.02768,359875560
1124581446,99530,0.027657,359875560
1129831048,97950,0.027218,359875560
12491650,97624,0.027127,359875560
1132062379,97460,0.027082,359875560
12502666,96616,0.026847,359875560
12497770,96148,0.026717,359875560
1105878930,95368,0.0265,359875560
1129197291,95362,0.026499,359875560
12490810,94934,0.02638,359875560
12495320,94892,0.026368,359875560
12490821,94398,0.026231,359875560
1123094424,93908,0.026095,359875560
1124804992,93572,0.026001,359875560
12497858,93414,0.025957,359875560
1131191660,93280,0.02592,359875560
12492159,93058,0.025858,359875560
1048632492,92706,0.025761,359875560
12496084,92070,0.025584,359875560
1132910040,91764,0.025499,359875560
1107659452,91564,0.025443,359875560
12499897,91344,0.025382,359875560
12488699,90390,0.025117,359875560
1132307184,90388,0.025116,359875560
12493153,90004,0.02501,359875560
1056022035,89322,0.02482,359875560
1129835643,89252,0.024801,359875560
1131012772,89076,0.024752,359875560
12493662,88790,0.024672,359875560
1133683624,88562,0.024609,359875560
1118891101,88390,0.024561,359875560
12479354,88118,0.024486,359875560
12104663,87138,0.024213,359875560
1056254245,87090,0.0242,359875560
1125088302,86876,0.024141,359875560
1061805263,86786,0.024116,359875560
1109022993,86148,0.023938,359875560
1133861463,86098,0.023924,359875560
1132525627,86026,0.023904,359875560
12496801,86024,0.023904,359875560
12492555,85514,0.023762,359875560
1124830346,85438,0.023741,359875560
12501854,85032,0.023628,359875560
1130932216,84730,0.023544,359875560
7995692,84506,0.023482,359875560
1134304730,84402,0.023453,359875560
1131491169,83910,0.023316,359875560
12493778,83652,0.023245,359875560
1075551595,82584,0.022948,359875560
1132691410,82564,0.022942,359875560
1130773106,82510,0.022927,359875560
12490811,82450,0.022911,359875560
1100721160,82374,0.02289,359875560
1133398261,82130,0.022822,359875560
1131512363,81878,0.022752,359875560
1132468898,81644,0.022687,359875560
12497878,81330,0.022599,359875560
12494013,80880,0.022474,359875560
1132671730,80502,0.022369,359875560
1130467192,80356,0.022329,359875560
1111044312,80234,0.022295,359875560
1132655130,79646,0.022132,359875560
12504017,79558,0.022107,359875560
12500929,79470,0.022083,359875560
12497818,79270,0.022027,359875560
1129943686,79036,0.021962,359875560
1109151396,78916,0.021929,359875560
12495841,78852,0.021911,359875560
1132283733,77966,0.021665,359875560
3330941,77718,0.021596,359875560
12492906,77586,0.021559,359875560
12492471,77570,0.021555,359875560
1098607323,77044,0.021409,359875560
1132705410,76840,0.021352,359875560
1132094531,76702,0.021313,359875560
1130966711,76680,0.021307,359875560
