product_code,product_name,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,brand_name,maker,origin,price_1,price_2,price_3,evaluation_score,comment_count
12500017,[마띠에르]마띠에르 엘레강스 패키지 22종,홈,TV쇼핑,언더웨어,,,,,,,,마띠에르,(주)세노OEM,중국,"119,900","118,900","112,950",,989
12491140,[페스포우][페스포우] 여성 블레인 코트 (BLAINE COAT),홈,TV쇼핑,여성의류,,,,,,,,페스포우,ODITZ,베트남,"98,000","97,000","92,150",,318
12504064,[스칸맘][더블세트]스칸맘 행주 16장+빅사이즈 행주 4장+크라프트백 4개+티타올 2개+우드트레이 2개+무료체험 스칸맘 행주 2장+(사은품 무민 행주 3장 더!),홈,TV쇼핑,주방,,,,,,,,스칸맘,테코트릭,스웨덴,"138,000","137,000","130,150",,418
12499613,[쟈키]JOCKEY 씨크릿 홀리데이 17종 패키지,홈,TV쇼핑,언더웨어,,,,,,,,쟈키,(주)비에스투코리아2,필리핀,"169,000","151,100","143,540",,1158
12501833,[참존][참존] NEW GE EX 골드트러플 1+1 완벽더블 패키지 특별구성!! 스페셜 미드나잇 크림까지!!,홈,TV쇼핑,화장품/이미용,,,,,,,,참존,참존화장품,한국,"99,000","98,000","93,100",,127
1049251122,[백화농원][백화농원]1+1 특별기획 프리미엄 고급 청호박 도자기꿀 1kg+1kg,홈,건강/다이어트식품,꿀/로얄제리/프로폴리스,꿀,아카시아꿀,,,,,,백화농원,백화농원,한국,"37,500",,"35,620",98,81
1131145836,방송상품 삼성전자 가전제품 특집! 스마트 Full HD TV / 지펠 4도어 냉장고 / 액티브 워시 세탁기,홈,TV쇼핑,가전,,,,,,,,,,,"1,149,000","999,000",,,257
12493595,[아이오페(IOPE)][아이오페] 스템셀 퍼펙션 스킨로션 완벽더블 패키지,홈,TV쇼핑,화장품/이미용,,,,,,,,아이오페(IOPE),(주)아모레퍼시픽,한국,"140,000","139,000","132,050",,82
1131497951,[R.ROBOT]티셔츠/맨투맨/야구점퍼 外 13종 택1,홈,U아동관,롯데백화점 아동의류/잡화,아동의류/남아/3~9세,티셔츠,맨투맨/라운드넥/브이넥티,긴팔,,,,,,,"23,000","19,550",,,122
1076022547,"[젤리맘][스크래치전]젤리맘 와이즈체어/가방/카트/[최초가 89,000원]",홈,U아동관,발육용품/가구/매트,유아동 가구/침구,식탁의자,전체보기,,,,,,,,,"9,800",,,664
1132316912,[폴햄]공용_초경량 하이넥다운점퍼(PHV4JP1010),홈,롯데백화점,진/유니섹스,점퍼,패딩/다운점퍼,,,,,,폴햄,주)에이션패션,미얀마,"30,000",,"28,500",,37
1103670891,[동횡성농협][농협횡성한우] 횡성한우 1등급 일품 정육/갈비/구이세트,홈,신선식품,축산물,한우,농협한우,,,,,,,,,,"109,000",,,286
